City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
521,Sandwick,GB,60.0,-1.25,37.22,81,75,27.63,broken clouds
522,San Bartolome De Tirajana,ES,27.9248,-15.5733,55.87,48,0,8.05,clear sky
523,Chara,RU,56.9064,118.2631,-14.35,93,68,1.3,broken clouds
524,Pacific Grove,US,36.6177,-121.9166,56.75,83,99,1.99,overcast clouds
525,Deputatskiy,RU,69.3,139.9,-23.64,98,43,1.34,scattered clouds
526,Dilla,ET,6.41,38.31,59.72,55,82,3.56,broken clouds
527,Narwar,IN,25.65,77.9,55.99,55,0,7.54,clear sky
528,Faanui,PF,-16.4833,-151.75,81.28,70,1,15.12,clear sky
529,Saint-Augustin,CA,51.226,-58.6502,7.79,74,100,15.23,overcast clouds
530,Nuuk,GL,64.1835,-51.7216,10.92,95,100,7.58,light snow
531,Sao Filipe,CV,14.8961,-24.4956,72.52,77,0,8.75,clear sky
532,Torres,BR,-29.3353,-49.7269,77.83,95,19,10.29,few clouds
533,Ormara,PK,25.2088,64.6357,67.26,26,0,11.59,clear sky
534,Okhotsk,RU,59.3833,143.3,9.66,74,87,15.5,overcast clouds
535,Muzhi,RU,65.3667,64.6667,-1.8,98,100,3.11,overcast clouds
536,Manzhouli,CN,49.6,117.4333,-5.48,82,9,7.72,clear sky
537,Aktau,KZ,43.65,51.2,36.18,73,100,10.96,overcast clouds
538,Naco,MX,31.3347,-109.9483,37.8,27,0,7.25,clear sky
539,Pangkalanbuun,ID,-2.6833,111.6167,87.37,61,89,3.24,overcast clouds
540,Qasigiannguit,GL,68.8193,-51.1922,11.88,95,100,8.25,light snow
541,Nizhniy Baskunchak,RU,48.2198,46.8311,28.94,92,100,6.89,overcast clouds
542,Brokopondo,SR,4.75,-55.1667,74.32,92,97,7.65,heavy intensity rain
543,Manicore,BR,-5.8092,-61.3003,72.34,99,98,0.89,overcast clouds
544,Jiwani,PK,25.05,61.7417,69.01,44,0,6.04,clear sky
545,Santa Rosa,PH,14.3122,121.1114,87.12,62,87,13.2,overcast clouds
546,Aripuana,BR,-9.1667,-60.6333,72.36,99,97,0.38,overcast clouds
547,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.74,94,3,1.21,clear sky
548,Grao Mogol,BR,-16.5594,-42.8897,65.89,95,98,0.43,overcast clouds
549,Faya,SA,18.3851,42.4509,53.71,55,7,2.91,clear sky
550,Thinadhoo,MV,0.5333,72.9333,81.95,70,75,8.46,broken clouds
551,Paraiso,CR,9.8383,-83.8656,66.88,77,76,3.27,broken clouds
552,Itaueira,BR,-7.6033,-43.0256,80.1,51,99,0.87,overcast clouds
553,Tondano,ID,1.3038,124.9112,73.49,75,100,3.42,overcast clouds
554,Shitanjing,CN,39.2342,106.3439,16.11,32,0,1.12,clear sky
555,Klyuchi,RU,52.2667,79.1667,0.0,97,15,8.1,few clouds
556,Larsnes,NO,62.2028,5.5773,39.6,91,100,20.07,light rain
557,Rudbar,AF,30.15,62.6,47.41,33,0,2.08,clear sky
558,Ouegoa,NC,-20.35,164.4333,84.6,79,98,9.62,light rain
559,Morehead,US,37.2711,-87.1764,27.99,96,100,3.0,overcast clouds
560,Yarkovo,RU,57.4028,67.0786,27.73,94,100,10.92,overcast clouds
561,Cabedelo,BR,-6.9811,-34.8339,80.42,75,99,12.73,overcast clouds
562,Nhulunbuy,AU,-12.2333,136.7667,88.41,70,75,10.36,light rain
563,Ust-Koksa,RU,50.2696,85.6108,-4.4,91,69,0.78,broken clouds
564,Rio Pardo De Minas,BR,-15.6097,-42.5397,68.31,92,86,1.81,overcast clouds
565,Laukaa,RU,58.7372,29.8453,-0.18,100,100,1.79,overcast clouds
566,Sabang,ID,5.8933,95.3214,82.74,71,86,15.55,overcast clouds
567,Catalina,US,32.5056,-110.9211,45.52,22,0,1.01,clear sky
568,San Vicente,AR,-26.6167,-54.1333,68.76,100,100,2.35,light rain
569,Walvis Bay,NA,-22.9575,14.5053,66.09,80,4,9.28,clear sky
570,Tuatapere,NZ,-46.1333,167.6833,52.83,92,100,4.68,heavy intensity rain
571,Wageningen,NL,51.9667,5.6667,46.92,93,75,10.36,mist
572,Mmabatho,ZA,-25.85,25.6333,64.0,88,80,8.43,broken clouds
573,Corinto,GR,37.9407,22.9573,45.54,64,15,3.69,few clouds
574,Galle,LK,6.0367,80.217,77.36,75,1,3.2,clear sky
575,Fenoarivo,MG,-18.933,47.4354,66.27,77,75,8.05,broken clouds
576,Pundaguitan,PH,6.3711,126.1689,76.95,88,100,12.39,moderate rain
577,Marawi,PH,7.9986,124.2928,71.65,86,100,2.17,moderate rain
578,Ostrozac,BA,44.9086,15.9403,36.36,76,100,5.1,overcast clouds
579,Ixtapa,MX,20.7,-105.2,65.07,81,73,2.19,broken clouds
580,Ambon,ID,-3.6954,128.1814,87.94,66,40,2.3,scattered clouds
581,Ugoofaaru,MV,5.6667,73.0,80.76,74,52,8.95,broken clouds
582,Umm Bab,QA,25.2142,50.8072,62.82,56,3,6.76,clear sky
583,Santa Cruz De La Palma,ES,28.6835,-17.7642,65.14,77,0,4.61,clear sky
584,Mkokotoni,TZ,-5.8767,39.2547,78.69,86,100,10.13,overcast clouds
585,Amherst,US,41.3978,-82.2224,23.0,90,100,8.01,mist
586,Zhicheng,CN,30.2956,111.5047,45.88,48,0,2.95,clear sky
587,Bam,IR,29.106,58.357,48.06,26,0,1.63,clear sky
588,Latung,PH,5.5,120.8833,81.63,66,81,2.66,broken clouds
589,Turukhansk,RU,65.8167,87.9833,5.63,95,99,12.01,light snow
590,Florianopolis,BR,-27.6146,-48.5012,75.7,85,31,4.0,scattered clouds
591,Umm Lajj,SA,25.0213,37.2685,67.5,48,0,18.45,clear sky
592,Hofn,IS,64.2539,-15.2082,28.96,57,100,20.58,overcast clouds
593,Yatou,CN,37.15,122.3833,31.51,46,60,12.3,broken clouds
594,Hohhot,CN,40.8106,111.6522,12.43,51,28,4.7,scattered clouds
595,Gravdal,NO,68.1214,13.5031,25.68,66,100,33.24,light snow
596,Salekhard,RU,66.53,66.6019,-9.83,99,100,2.1,overcast clouds
597,Nanzhou,CN,29.3596,112.4024,44.94,64,4,4.23,clear sky
598,Grivenskaya,RU,45.6473,38.176,37.06,92,100,9.62,light rain
599,Dakar,SN,14.6937,-17.4441,70.68,67,0,7.34,clear sky
600,Khasan,RU,42.4308,130.6434,18.45,46,1,21.41,clear sky
601,Kizukuri,JP,40.8061,140.3861,29.25,66,100,18.68,light snow
602,Dangriga,BZ,16.9692,-88.2321,77.99,84,2,9.22,clear sky
603,Longkou,CN,37.6508,120.3286,30.67,47,34,18.92,scattered clouds
604,Tavrichanka,RU,43.3378,131.8639,13.86,49,17,12.39,few clouds
605,Plettenberg Bay,ZA,-34.0527,23.3716,63.48,81,100,5.48,light rain
606,Kidal,ML,18.4411,1.4078,57.07,17,0,14.54,clear sky
607,Padang,ID,-0.9492,100.3543,80.65,70,92,2.55,overcast clouds
608,Maarianhamina,AX,60.0973,19.9348,33.66,86,100,18.41,overcast clouds
609,Barguzin,RU,53.6167,109.6167,-1.59,96,100,0.69,overcast clouds
610,Ocos,GT,14.5094,-92.1933,80.31,70,26,7.38,scattered clouds
611,Douglas,US,41.3,-96.167,12.38,50,0,3.44,clear sky
612,Nelson Bay,AU,-32.7167,152.15,76.95,79,12,4.0,light rain
613,Seydi,TM,39.4816,62.9137,41.32,53,63,11.39,broken clouds
614,Szentgotthard,HU,46.9526,16.2736,39.24,90,72,4.03,broken clouds
615,Puerto Escondido,MX,15.85,-97.0667,75.6,71,0,2.77,clear sky
616,Cochrane,CA,51.1834,-114.4687,8.2,70,100,8.84,overcast clouds
617,Kupang,ID,-10.1667,123.5833,81.5,81,83,11.77,broken clouds
618,La Seyne-Sur-Mer,FR,43.0982,5.8847,46.87,83,100,3.56,overcast clouds
619,Galesong,ID,-5.3166,119.3661,84.22,72,83,9.71,broken clouds
620,Henties Bay,NA,-22.116,14.2845,65.86,88,6,5.91,clear sky
621,Saint-Francois,FR,46.4154,3.9054,40.44,88,100,2.3,overcast clouds
622,Bandarbeyla,SO,9.4942,50.8122,72.19,71,5,12.21,clear sky
623,Pendleton,US,45.6721,-118.7886,41.41,77,21,1.99,few clouds
624,North Bend,US,43.4065,-124.2243,45.95,99,5,6.49,clear sky
625,Tingi,TZ,-11.3,35.0333,63.7,90,100,1.36,overcast clouds
626,Oranjemund,NA,-28.55,16.4333,63.43,82,3,21.85,clear sky
627,Marand,IR,38.4329,45.7749,32.34,82,19,3.85,few clouds
628,Salvador,SV,13.8333,-88.9167,71.06,85,2,1.72,clear sky
629,Ojinaga,MX,29.5667,-104.4167,34.57,59,0,0.0,clear sky
630,Tazovskiy,RU,67.4667,78.7,0.48,97,99,6.71,overcast clouds
631,Champasak,LA,14.75,106.0,84.43,54,36,1.03,scattered clouds
632,Emba,KZ,48.8264,58.1442,19.72,81,99,11.92,overcast clouds
633,Bosaso,SO,11.2842,49.1816,70.14,76,5,2.91,clear sky
634,Nenjiang,CN,49.1833,125.2167,1.08,75,14,6.33,few clouds
635,Monaghan,IE,54.25,-6.9667,38.39,92,89,8.05,overcast clouds
636,Griffith,US,41.5284,-87.4237,24.89,71,100,3.0,overcast clouds
637,Talnakh,RU,69.4865,88.3972,-13.94,99,80,7.09,broken clouds
638,Okha,RU,53.5739,142.9478,4.73,91,100,22.3,overcast clouds
639,Tekeli,KZ,44.83,78.8239,15.85,70,43,8.97,scattered clouds
640,Omsukchan,RU,62.5333,155.8,-5.85,75,16,9.8,few clouds
641,Ligatne,LV,57.2343,25.0406,20.25,94,81,1.99,broken clouds
642,Mackenzie,CA,55.2999,-123.1698,15.31,97,100,2.84,light snow
643,Sapele,NG,5.8941,5.6767,75.88,87,40,1.57,scattered clouds
644,Bowen,AU,-20.0167,148.2333,82.89,76,100,5.95,overcast clouds
645,Villa Del Rosario,CO,7.8339,-72.4742,79.18,69,40,2.3,scattered clouds
646,Wilmington,US,34.2257,-77.9447,64.94,86,100,13.29,overcast clouds
647,Mikropolis,GR,41.1935,23.8157,37.92,82,12,4.47,few clouds
648,Makokou,GA,0.5738,12.8642,70.07,94,100,3.2,overcast clouds
649,Takab,IR,36.4009,47.1133,23.83,76,36,1.99,scattered clouds
650,Nuoro,IT,40.3211,9.3297,34.86,63,100,5.46,overcast clouds
651,Jinhua,CN,29.1078,119.6547,38.84,98,100,1.21,overcast clouds
652,La Asuncion,VE,11.0333,-63.8628,76.66,80,1,14.58,clear sky
