City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
26,Mayo,US,2022-01-24 20:30:22,38.8876,-76.5119,42.37,59,0,7.0
27,Evensk,RU,2022-01-24 20:30:22,61.95,159.2333,-8.36,85,98,5.19
28,Lagos,NG,2022-01-24 20:28:18,6.5833,3.75,82.72,79,4,5.17
29,Tiruppuvanam,IN,2022-01-24 20:30:22,9.8333,78.2667,75.2,79,100,4.0
30,Tongliao,CN,2022-01-24 20:30:23,43.6125,122.2653,-5.75,99,44,3.36
31,Rikitea,PF,2022-01-24 20:30:23,-23.1203,-134.9692,78.53,70,100,19.1
32,Discovery Bay,US,2022-01-24 20:30:23,37.9085,-121.6002,64.47,60,0,0.0
33,Vysokogornyy,RU,2022-01-24 20:30:24,50.1167,139.15,-16.87,100,95,2.64
34,Chokurdakh,RU,2022-01-24 20:30:24,70.6333,147.9167,-24.74,100,99,4.99
35,Dossor,KZ,2022-01-24 20:30:24,47.5272,52.9811,20.25,87,100,15.17
36,New Norfolk,AU,2022-01-24 20:30:25,-42.7826,147.0587,62.1,69,100,0.22
37,Quelimane,MZ,2022-01-24 20:30:25,-17.8786,36.8883,78.75,94,75,14.97
38,Linjiang,CN,2022-01-24 20:30:25,41.8069,126.9078,7.18,97,53,0.72
39,Paoua,CF,2022-01-24 20:30:26,7.2427,16.4406,73.33,21,73,4.97
40,Jamestown,US,2022-01-24 20:30:26,42.097,-79.2353,21.09,64,100,5.99
41,Golden Gate,US,2022-01-24 20:29:45,26.1879,-81.6951,66.27,35,0,8.05
42,Bengkulu,ID,2022-01-24 20:30:26,-3.8004,102.2655,75.79,88,96,3.85
43,Cape Town,ZA,2022-01-24 20:26:20,-33.9258,18.4232,70.12,86,75,5.01
44,Grand Baie,MU,2022-01-24 20:30:27,-20.0182,57.5802,79.27,69,18,8.01
45,Port Blair,IN,2022-01-24 20:30:27,11.6667,92.75,74.95,74,0,2.57
46,Bluff,NZ,2022-01-24 20:31:28,-46.6,168.3333,56.8,76,97,13.2
47,Anadyr,RU,2022-01-24 20:31:28,64.75,177.4833,-21.5,76,20,11.18
48,Butaritari,KI,2022-01-24 20:31:28,3.0707,172.7902,81.25,79,95,16.11
49,Hilo,US,2022-01-24 20:30:45,19.7297,-155.09,78.53,50,0,9.22
50,Vila Velha,BR,2022-01-24 20:28:37,-20.3297,-40.2925,84.43,67,20,7.0
51,Airai,TL,2022-01-24 20:28:18,-8.9266,125.4092,60.26,89,67,2.37
52,Ribeira Grande,PT,2022-01-24 20:31:29,38.5167,-28.7,57.6,72,20,8.05
53,Sitka,US,2022-01-24 20:31:29,57.0531,-135.33,39.09,87,100,8.05
54,Airdrie,GB,2022-01-24 20:31:29,55.866,-3.9803,46.67,93,98,5.23
55,Saskylakh,RU,2022-01-24 20:31:30,71.9167,114.0833,-8.12,96,100,6.29
56,Venado Tuerto,AR,2022-01-24 20:30:03,-33.7456,-61.9688,86.77,48,100,3.8
57,Kodiak,US,2022-01-24 20:31:30,57.79,-152.4072,40.51,75,100,8.05
58,Saraland,US,2022-01-24 20:31:30,30.8207,-88.0706,61.12,50,100,4.34
59,Eureka,US,2022-01-24 20:31:31,40.8021,-124.1637,62.13,60,42,3.0
60,Kutum,SD,2022-01-24 20:31:31,14.2,24.6667,59.79,21,41,9.06
61,Khor,RU,2022-01-24 20:31:31,47.8861,134.9464,-11.94,100,100,2.51
62,Mount Isa,AU,2022-01-24 20:31:13,-20.7333,139.5,74.97,100,100,6.91
63,Hobart,AU,2022-01-24 20:31:32,-42.8794,147.3294,62.46,92,75,4.61
64,San Antonio,US,2022-01-24 20:30:48,29.4241,-98.4936,55.85,88,100,0.0
65,San Patricio,US,2022-01-24 20:31:32,28.017,-97.5169,51.89,87,100,8.05
66,Kununurra,AU,2022-01-24 20:31:32,-15.7667,128.7333,75.18,94,100,3.44
67,Longyearbyen,SJ,2022-01-24 20:31:32,78.2186,15.6401,19.24,73,40,21.85
